Land,AGS,Landkreis,Wahlberechtigte,Wähler,Ungültige.Erststimmen,Gültige.Erststimmen,CDU.Erststimmen,SPD.Erststimmen,FDP.Erststimmen,DIE LINKE.Erststimmen,GRÜNE.Erststimmen,CSU.Erststimmen,PIRATEN.Erststimmen,NPD.Erststimmen,Tierschutzpartei.Erststimmen,REP.Erststimmen,ÖDP.Erststimmen,FAMILIE.Erststimmen,Bündnis 21/RRP.Erststimmen,RENTNER.Erststimmen,BP.Erststimmen,PBC.Erststimmen,BüSo.Erststimmen,DIE VIOLETTEN.Erststimmen,MLPD.Erststimmen,"Volksabstimmung.Erststimmen",AfD.Erststimmen,BIG.Erststimmen,pro Deutschland.Erststimmen,FREIE WÄHLER.Erststimmen,PARTEI DER VERNUNFT.Erststimmen,Die PARTEI.Erststimmen,B.Erststimmen,BGD.Erststimmen,DKP.Erststimmen,NEIN!.Erststimmen,Übrige.Erststimmen,Ungültige.Zweitstimmen,Gültige.Zweitstimmen,CDU.Zweitstimmen,SPD.Zweitstimmen,FDP.Zweitstimmen,DIE LINKE.Zweitstimmen,GRÜNE.Zweitstimmen,CSU.Zweitstimmen,PIRATEN.Zweitstimmen,NPD.Zweitstimmen,Tierschutzpartei.Zweitstimmen,REP.Zweitstimmen,ÖDP.Zweitstimmen,FAMILIE.Zweitstimmen,Bündnis 21/RRP.Zweitstimmen,RENTNER.Zweitstimmen,BP.Zweitstimmen,PBC.Zweitstimmen,BüSo.Zweitstimmen,DIE VIOLETTEN.Zweitstimmen,MLPD.Zweitstimmen,Volksabstimmung.Zweitstimmen,PSG.Zweitstimmen,AfD.Zweitstimmen,BIG.Zweitstimmen,pro Deutschland.Zweitstimmen,DIE RECHTE.Zweitstimmen,DIE FRAUEN.Zweitstimmen,FREIE WÄHLER.Zweitstimmen,"Nichtwähler.Zweitstimmen",PARTEI DER VERNUNFT.Zweitstimmen,Die PARTEI.Zweitstimmen
BW,8226,Rhein-Neckar-Kreis,398436,302747,4360,298387,143464,81297,7960,11804,24961,0,6835,3564,0,1020,1072,0,0,0,0,0,0,0,0,0,14601,0,0,1515,0,294,0,0,0,0,0,3992,298755,127779,69289,19335,14162,29658,0,7382,3424,2631,1084,723,0,0,729,0,384,33,0,65,507,0,18806,168,241,0,0,2079,0,276,0
BW,8231,"Pforzheim, Stadt",77695,50530,804,49726,24232,11455,2682,2498,3750,0,1163,866,0,0,0,0,0,0,0,0,0,0,0,0,2710,0,0,370,0,0,0,0,0,0,0,803,49727,22131,10114,3322,2787,4191,0,1141,708,434,175,76,0,0,161,0,102,4,0,15,108,0,3852,33,49,0,0,277,0,47,0
BW,8235,Calw,110794,82564,1348,81216,47000,16728,2300,3716,5707,0,1837,1137,0,743,640,0,0,0,0,0,0,0,0,0,0,0,0,1408,0,0,0,0,0,0,0,1005,81559,41386,14372,5033,3407,6433,0,1567,878,635,423,266,0,0,236,0,451,12,0,29,158,0,5432,62,73,0,0,640,0,66,0
BW,8236,Enzkreis,142281,108961,1490,107471,53505,24604,6382,3937,8789,0,2294,1636,0,0,0,0,0,0,0,0,0,0,0,0,5335,0,0,989,0,0,0,0,0,0,0,1292,107669,48866,21674,7849,4461,9890,0,2264,1417,890,438,313,0,0,299,0,496,11,0,23,209,0,7527,65,127,0,0,737,0,113,0
BW,8237,Freudenstadt,86885,62587,1094,61493,36514,12164,1772,2378,4329,0,1201,970,0,779,524,0,0,0,0,0,0,0,0,0,0,0,0,862,0,0,0,0,0,0,0,876,61711,31877,10913,4161,2541,4513,0,1075,811,360,481,258,0,0,174,0,345,9,0,10,99,0,3581,26,49,0,0,377,0,51,0
BW,8311,"Freiburg im Breisgau, Stadt",154522,117575,1143,116432,34861,36689,2107,6535,27215,0,3033,551,0,0,0,0,0,0,0,0,0,349,0,0,2775,0,0,719,0,0,0,0,0,0,1598,1086,116489,36179,26740,5360,10702,25785,0,4037,439,1021,149,488,0,0,255,0,170,15,0,72,158,0,4303,38,63,0,0,440,0,75,0
BW,8315,Breisgau-Hochschwarzwald,189733,145292,2005,143287,71116,36864,3377,5389,19320,0,1778,1263,0,0,539,0,0,0,0,0,0,103,0,0,2896,0,0,392,0,0,0,0,0,0,250,1696,143596,65741,28943,8173,6767,20004,0,2715,914,1217,397,477,0,0,353,0,388,23,0,23,343,0,6156,48,93,0,0,695,0,126,0
BW,8316,Emmendingen,121495,90529,1701,88828,44131,24922,1634,4076,10943,0,0,1120,0,0,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1323,89206,39278,19588,4443,4255,11779,0,2272,652,954,265,762,0,0,212,0,236,15,0,20,227,0,3723,19,64,0,0,373,0,69,0
BW,8317,Ortenaukreis,314830,220217,4164,216053,121013,46184,4406,9346,21449,0,2836,2366,0,0,1068,0,0,0,0,0,0,0,0,0,6176,0,0,945,0,0,0,0,0,0,264,3927,216290,104576,42267,12082,9903,22912,0,4605,1924,1860,499,703,0,0,493,0,392,27,0,41,486,0,11694,42,122,0,0,1284,0,378,0
BW,8325,Rottweil,103229,74630,1355,73275,41696,13191,2326,2535,5167,0,0,1283,0,0,1957,0,0,0,0,0,0,0,0,0,4160,0,0,960,0,0,0,0,0,0,0,1214,73416,37728,12867,4437,2769,5262,0,1304,1200,514,233,976,0,0,230,0,183,16,0,13,192,0,4762,23,57,0,0,558,0,92,0
BW,8326,Schwarzwald-Baar-Kreis,150608,107563,1590,105973,60241,19739,2711,3807,8071,0,0,1876,0,0,522,0,0,0,0,0,0,0,0,0,3990,0,0,1701,0,0,0,0,0,0,3315,1623,105940,52303,20138,6297,4480,9526,0,2078,1655,846,191,347,0,0,316,0,440,15,0,57,211,0,5846,33,70,0,0,989,0,102,0
BW,8327,Tuttlingen,96012,68819,1164,67655,39821,11853,2388,2755,5379,0,0,1013,0,0,462,0,0,0,0,0,0,0,0,0,2952,0,0,1032,0,0,0,0,0,0,0,1067,67752,35270,11890,4588,2832,5123,0,1278,880,454,180,274,0,0,188,0,178,11,0,16,161,0,3452,31,42,0,0,825,0,79,0
